@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal numeric
@attribute accel_Max10 numeric
@attribute accel_stddev numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
388,'2018/04/04 19:37:45:156',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
389,'2018/04/04 19:37:45:360',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
390,'2018/04/04 19:37:45:565',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
391,'2018/04/04 19:37:45:769',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
392,'2018/04/04 19:37:45:973',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
393,'2018/04/04 19:37:46:176',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
394,'2018/04/04 19:37:46:381',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
395,'2018/04/04 19:37:46:584',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
396,'2018/04/04 19:37:46:788',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
397,'2018/04/04 19:37:46:992',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
398,'2018/04/04 19:37:47:196',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
399,'2018/04/04 19:37:47:401',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
400,'2018/04/04 19:37:47:602',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
401,'2018/04/04 19:37:47:803',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
402,'2018/04/04 19:37:48:006',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
403,'2018/04/04 19:37:48:209',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
404,'2018/04/04 19:37:48:410',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
405,'2018/04/04 19:37:48:614',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
406,'2018/04/04 19:37:48:817',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
407,'2018/04/04 19:37:49:018',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
408,'2018/04/04 19:37:49:219',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
409,'2018/04/04 19:37:49:420',14,0,238,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
410,'2018/04/04 19:38:08:879',15,1,474,0,0,49,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
411,'2018/04/04 19:38:09:080',15,1,474,0,0,49,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
